grade_id,enrollment_id,grade,gpa_points,grade_date,retake,grade_source
207453968,83052085,B,0.82,17/10/2023,FALSE,Assignment
391219585,34442321,C,3.01,7/12/23,FALSE,Final
507218796,52371426,B,3.63,4/6/23,FALSE,Final
219655581,79611674,B,2.16,1/6/23,FALSE,Mid
197289631,30519403,C,3.97,7/11/23,FALSE,Assignment
545242686,55961351,C,3,18/12/2023,TRUE,Assignment
566174593,36278193,C,0.59,14/11/2023,FALSE,Assignment
645712483,99770173,A,0.48,12/5/23,TRUE,Mid
765343667,45963402,C,1.22,8/4/23,TRUE,Final
847285661,72918108,B,2.3,18/07/2023,FALSE,Final
522719081,39828216,C,1.53,10/2/23,FALSE,Assignment
187546770,31260231,F,1.3,22/01/2023,TRUE,Mid
755002957,18872709,C,0.1,7/11/23,TRUE,Assignment
949138977,70050090,D,0.31,4/9/23,TRUE,Assignment
737596909,29353192,B,0.26,26/06/2023,FALSE,Final
154116962,51798253,A,2.59,19/03/2023,TRUE,Assignment
159128790,76899408,B,1.37,21/02/2023,FALSE,Mid
434777874,81980021,C,3.9,7/6/23,FALSE,Mid
271360142,30458459,B,1.91,17/07/2023,TRUE,Final
307100959,74222769,A,3.55,26/04/2023,FALSE,Assignment
847008285,15105791,B,3.43,18/08/2023,FALSE,Final
128387049,68324713,C,2.53,2/6/23,TRUE,Assignment
468257715,41565134,B,2.84,23/04/2023,TRUE,Final
544454320,80740905,A,2.77,12/12/23,FALSE,Final
903970029,50157426,B,3.36,23/03/2023,TRUE,Mid
569254836,12931142,C,1.39,28/09/2023,TRUE,Final
958257725,85887036,A,0.37,22/08/2023,FALSE,Mid
932101502,67823500,B,3.16,6/4/23,TRUE,Final
772671548,95657992,C,0.8,5/2/23,FALSE,Mid
665974402,77107006,B,0.47,12/9/23,FALSE,Final
949961089,28375788,C,0.09,26/02/2023,TRUE,Mid
293558928,20520051,C,2.09,20/11/2023,TRUE,Assignment
411830524,59493931,B,0.55,18/01/2023,TRUE,Mid
945464937,27844942,C,0.88,20/05/2023,TRUE,Final
468945435,72820388,B,1.65,12/12/23,TRUE,Mid
133232277,79208516,C,3.19,22/08/2023,FALSE,Final
914881629,90468714,A,0.99,25/12/2023,TRUE,Final
828890269,99495457,D,2.43,26/01/2023,FALSE,Assignment
293488179,90513775,A,2.23,5/8/23,TRUE,Final
476293264,80107520,B,0.32,29/10/2023,TRUE,Assignment
290078264,98774444,C,3.13,8/7/23,TRUE,Final
873287934,40767601,A,2.21,24/10/2023,FALSE,Final
779862603,95089712,B,2.18,25/07/2023,FALSE,Mid
449542300,14072371,D,3.42,25/02/2023,FALSE,Mid
946061282,88618611,B,0.2,12/6/23,FALSE,Final
937963747,19928446,B,3.93,14/01/2023,FALSE,Final
194043050,25772706,C,0.2,24/05/2023,FALSE,Final
924826296,79156461,B,3.37,13/04/2023,TRUE,Assignment
178907933,59537836,C,2.91,6/2/23,FALSE,Assignment
169572329,61221674,A,2.53,27/07/2023,TRUE,Final
724231218,67750657,B,3.25,19/03/2023,TRUE,Mid
477071578,87712939,B,1.45,8/3/23,TRUE,Assignment
241445023,18337190,B,3.47,20/02/2023,TRUE,Final
454759144,55829158,C,0.66,11/8/23,TRUE,Final
685710726,21410851,A,0.79,2/3/23,FALSE,Mid
504139129,16041077,A,0.39,28/07/2023,FALSE,Assignment
552582591,21214418,F,1.08,21/04/2023,TRUE,Final
141074491,85117374,C,2.17,7/11/23,FALSE,Final
