enrollment_id,student_id,course_id,lecturer_id,enrollment_date,semester,enrollment_status
83052085,231100,905,8043,19/08/2023,semester 1,Active
34442321,231101,777,5893,25/03/2023,semester 1,Active
52371426,231102,235,3499,31/07/2023,semester 1,Active
79611674,231103,600,5060,18/08/2023,semester 2,Completed
30519403,231104,487,3721,01/07/2023,semester 1,Active
55961351,231105,963,5550,01/12/2023,semester 2,Completed
36278193,231106,215,1356,07/10/2023,semester 1,Active
99770173,231107,374,9872,07/08/2023,semester 1,Active
45963402,231108,824,7676,29/09/2023,semester 2,Completed
72918108,231109,909,7855,26/09/2023,semester 1,Completed
39828216,231110,273,3864,19/10/2023,semester 2,Active
31260231,231111,701,8316,10/06/2023,semester 1,Active
18872709,231112,339,3647,08/02/2023,semester 1,Completed
70050090,231113,761,7523,03/07/2023,semester 1,Active
29353192,231114,877,6159,18/06/2023,semester 1,Completed
51798253,231115,699,2676,26/10/2023,semester 1,Dropped
76899408,231116,617,7830,15/07/2023,semester 1,Completed
81980021,231117,903,4346,28/02/2023,semester 2,Completed
30458459,231118,634,6996,17/09/2023,semester 1,Active
74222769,231119,558,2741,18/04/2023,semester 1,Completed
15105791,231120,485,5578,22/08/2023,semester 1,Active
68324713,231121,843,3076,15/07/2023,semester 1,Completed
41565134,231122,834,1170,07/05/2023,semester 2,Active
80740905,231123,492,6631,23/11/2023,semester 2,Active
50157426,231124,692,1304,03/06/2023,semester 1,Active
12931142,231125,688,3503,02/11/2023,semester 2,Completed
85887036,231126,138,1508,25/05/2023,semester 2,Active
67823500,231127,707,2244,08/10/2023,semester 2,Completed
95657992,231128,870,4335,28/09/2023,semester 1,Active
77107006,231129,656,5791,04/06/2023,semester 2,Active
28375788,231130,736,1934,05/04/2023,semester 1,Active
20520051,231131,723,5734,29/01/2023,semester 2,Active
59493931,231132,202,8954,05/07/2023,semester 2,Active
27844942,231133,848,2244,16/10/2023,semester 1,Active
72820388,231134,568,6641,08/05/2023,semester 1,Active
79208516,231135,474,5836,05/04/2023,semester 2,Active
90468714,231136,642,1191,23/05/2023,semester 1,Active
99495457,231137,100,1378,25/04/2023,semester 1,Dropped
90513775,231138,206,5433,11/02/2023,semester 1,Completed
80107520,231139,860,8109,11/02/2023,semester 1,Active
98774444,231140,177,5618,02/03/2023,semester 2,Dropped
40767601,231141,489,1304,08/10/2023,semester 1,Completed
95089712,231142,738,8043,21/07/2023,semester 2,Active
14072371,231143,114,8737,13/03/2023,semester 1,Active
88618611,231144,332,7272,20/04/2023,semester 1,Active
19928446,231145,399,9999,27/05/2023,semester 2,Active
25772706,231146,881,9782,24/07/2023,semester 1,Active
79156461,231147,779,4335,01/08/2023,semester 2,Active
59537836,231148,370,6996,15/08/2023,semester 2,Active
61221674,231149,776,6054,13/07/2023,semester 1,Completed
67750657,231150,791,2676,27/12/2023,semester 2,Active
87712939,231151,396,5791,19/08/2023,semester 1,Completed
18337190,231152,475,7855,25/01/2023,semester 1,Active
55829158,231153,436,7523,04/01/2023,semester 1,Completed
21410851,231154,118,2488,30/05/2023,semester 1,Completed
16041077,231155,792,1102,10/02/2023,semester 1,Active
21214418,231156,348,2509,08/02/2023,semester 1,Active
85117374,231157,775,2485,01/09/2023,semester 2,Active
71647914,231158,183,7520,26/03/2023,semester 1,Completed
61090256,231159,125,2468,02/07/2023,semester 2,Active
75476118,231160,421,4549,07/07/2023,semester 1,Completed
88265325,231161,813,2122,13/02/2023,semester 2,Completed
70118962,231162,167,6054,02/05/2023,semester 1,Active
47040692,231163,514,2492,24/09/2023,semester 2,Active
19616163,231164,352,4608,20/07/2023,semester 1,Dropped
45242410,231165,926,8789,19/01/2023,semester 2,Active
