feedback_id,enrollment_id,feedback_score,comment,submitted_date
1,83052085,4,Comprehensive syllabus,19/06/2023
2,34442321,4,Promotes independent learning.,24/05/2023
3,52371426,8,Excellent resources,30/04/2023
4,79611674,4,Opportunities for research,16/08/2023
5,30519403,4,Opportunities for research,14/06/2023
6,55961351,6,,21/04/2023
7,36278193,10,Clear learning objectives,06/11/2023
8,99770173,2,Supportive instructors,06/08/2023
9,45963402,8,Interesting case studies,24/05/2023
10,72918108,8,Timely feedback provided,13/07/2023
11,39828216,1,,28/06/2023
12,31260231,6,Supportive instructors,19/05/2023
13,18872709,5,Challenging assignments,27/06/2023
14,70050090,8,Excellent resources,28/05/2023
15,29353192,2,Good practical application,07/05/2023
16,51798253,6,Comprehensive syllabus,14/08/2023
17,76899408,4,,07/04/2023
18,81980021,9,,08/05/2023
19,30458459,9,Challenging assignments,21/05/2023
20,74222769,9,Timely feedback provided,08/11/2023
21,15105791,10,Diverse assessment methods,22/07/2023
22,68324713,8,Up-to-date content,06/11/2023
23,41565134,1,,08/08/2023
24,80740905,6,Clear learning objectives,05/06/2023
25,50157426,3,,26/04/2023
26,12931142,5,Challenging assignments,20/06/2023
27,85887036,7,Relevant coursework,07/05/2023
28,67823500,7,,17/07/2023
29,95657992,5,Up-to-date content,27/07/2023
30,77107006,1,,15/06/2023
31,28375788,4,Encourages critical thinking,05/11/2023
32,20520051,8,Promotes independent learning.,28/04/2023
33,59493931,7,Strong industry connections,08/10/2023
34,27844942,2,Strong industry connections,08/12/2023
35,72820388,9,Well-structured modules,07/07/2023
36,79208516,7,Well-structured modules,28/06/2023
37,90468714,2,Encourages critical thinking,25/05/2023
38,99495457,7,Interesting case studies,07/01/2023
39,90513775,7,Clear learning objectives,31/07/2023
40,80107520,3,Supportive instructors,18/07/2023
41,98774444,8,Engaging lectures,07/07/2023
42,40767601,8,Well-structured modules,29/05/2023
43,95089712,3,Promotes independent learning.,06/01/2023
44,14072371,9,Stimulating discussions,20/04/2023
45,88618611,9,Clear learning objectives,07/04/2023
46,19928446,2,Challenging assignments,31/05/2023
47,25772706,1,Strong industry connections,07/03/2023
48,79156461,4,Excellent resources,17/05/2023
49,59537836,9,,24/06/2023
50,61221674,2,,07/03/2023
51,67750657,5,Good practical application,16/07/2023
52,87712939,4,Promotes independent learning.,15/08/2023
53,18337190,6,,20/05/2023
54,55829158,2,Good practical application,08/08/2023
55,21410851,9,Timely feedback provided,26/07/2023
56,16041077,6,,08/03/2023
57,21214418,2,Good practical application,06/08/2023
